(56, 76)
(66, 59)
(27, 25)
(28, 33)
(80, 68)
(72, 63)
(22, 27)
(56, 76)
(83, 71)
(17, 104)
(98, 71)
(126, 143)
(54, 71)
(19, 65)
(56, 76)
(106, 163)
(37, 50)
(73, 66)
(56, 76)
(63, 59)
(147, 63)
(30, 48)
(61, 26)
(56, 17)
(63, 58)
(56, 76)
(72, 66)
(34, 17)
(18, 23)
(50, 40)
(56, 76)
(100, 76)
(17, 110)
(67, 60)
(23, 75)
(17, 34)
(26, 73)
(101, 75)
(50, 110)
(41, 17)
(17, 34)
(46, 18)
(27, 73)
(56, 76)
(21, 27)
(56, 76)
(56, 76)
(17, 68)
(100, 66)
(28, 62)
(68, 61)
(56, 76)
(17, 98)
(55, 109)
(82, 70)
(56, 76)
(56, 76)
(35, 19)
(98, 69)
(24, 56)
(56, 76)
(26, 86)
(56, 76)
(59, 19)
(23, 55)
(26, 49)
(55, 20)
(56, 76)
(58, 29)
(56, 76)
(36, 54)
(27, 27)
(56, 76)
(56, 76)
(24, 61)
(53, 70)
(56, 76)
(64, 17)
(18, 89)
(56, 76)
(83, 71)
(73, 66)
(88, 71)
(17, 94)
(29, 48)
(91, 62)
(63, 58)
(123, 173)
(17, 64)
(91, 66)
(17, 29)
(50, 27)
(56, 76)
(23, 44)
(22, 34)
(73, 66)
(36, 35)
(69, 54)
(56, 76)
(72, 65)
(23, 31)
(71, 64)
(56, 76)
(21, 139)
(56, 76)
(19, 53)
(56, 76)
(19, 32)
(51, 29)
(22, 57)
(66, 59)
(29, 47)
(56, 76)
(56, 76)
(21, 127)
(74, 65)
(152, 33)
(141, 37)
(56, 76)
(53, 56)
(91, 62)
(22, 29)
(24, 33)
(17, 39)
(65, 59)
(68, 17)
(22, 66)
(96, 69)
(19, 41)
(50, 60)
(32, 59)
(68, 61)
(35, 28)
(34, 48)
(68, 61)
(54, 20)
(56, 76)
(43, 49)
(103, 77)
(73, 66)
(17, 69)
(56, 76)
(82, 66)
(19, 88)
(17, 104)
(37, 49)
(17, 18)
(52, 42)
(56, 76)
(20, 79)
(90, 64)
(20, 91)
(53, 18)
(56, 76)
(56, 76)
(22, 56)
(18, 94)
(33, 76)
(94, 126)
(38, 47)
(19, 30)
(93, 71)
(22, 17)
(47, 23)
(51, 57)
(56, 76)
(56, 76)
(56, 76)
(58, 19)
(56, 76)
(23, 77)
(56, 76)
(56, 76)
(52, 30)
(17, 172)
(62, 61)
(56, 76)
(60, 18)
(66, 61)
(48, 22)
(31, 74)
(56, 76)
(71, 64)
(22, 20)
(56, 24)
(73, 66)
(33, 56)
(56, 76)
(27, 43)
(57, 68)
(22, 155)
(157, 42)
(63, 58)
(30, 128)
(43, 117)
(24, 28)
(39, 17)
(24, 56)
(56, 76)
(56, 76)
(170, 25)
(19, 80)
(92, 63)
(58, 27)
(120, 43)
(56, 76)
(19, 50)
(64, 59)
(56, 76)
(33, 29)
(19, 53)
(86, 70)
(71, 64)
(66, 17)
(23, 105)
(32, 145)
(20, 31)
(41, 37)
(59, 131)
(55, 19)
(28, 31)
(71, 64)
(56, 76)
(17, 39)
(32, 71)
(30, 17)
(56, 76)
(56, 76)
(61, 18)
(33, 56)
(56, 76)
(66, 59)
(19, 107)
(71, 64)
(88, 65)
(20, 166)
(56, 76)
(31, 56)
(49, 67)
(72, 65)
(30, 106)
(56, 76)
(71, 64)
(50, 172)
(53, 66)
(91, 65)
(56, 76)
(28, 58)
(92, 66)
(121, 152)
(56, 76)
(23, 146)
(17, 83)
(56, 76)
(73, 66)
(42, 57)
(72, 65)
(102, 72)
(39, 105)
(18, 76)
(39, 46)
(24, 20)
(68, 61)
(17, 33)
(28, 48)
(45, 18)
(49, 23)
(131, 26)
(56, 76)
(17, 43)
(65, 19)
(50, 20)
(56, 76)
(72, 65)
(26, 55)
(62, 22)
(47, 17)
(56, 76)
(40, 178)
(23, 23)
(56, 76)
(74, 138)
(18, 65)
(22, 30)
(45, 53)
(56, 76)
(36, 64)
(35, 51)
(19, 33)
(40, 21)
(52, 56)
(73, 66)
(73, 66)
(56, 76)
(51, 155)
(56, 76)
(102, 75)
(22, 67)
(56, 76)
(44, 66)
(135, 181)
(54, 67)
(56, 76)
(35, 33)
(65, 59)
(72, 61)
(56, 76)
(33, 76)
(26, 70)
(56, 76)
(33, 22)
(76, 116)
(58, 67)
(65, 21)
(33, 90)
(56, 76)
(35, 19)
(20, 26)
(56, 76)
(18, 32)
(56, 76)
(25, 53)
(62, 62)
(91, 69)
(22, 72)
(55, 20)
(38, 46)
(63, 59)
(56, 76)
(36, 45)
(56, 76)
(59, 70)
(120, 53)
(56, 76)
(71, 64)
(56, 76)
(18, 68)
(38, 129)
(17, 42)
(52, 18)
(56, 76)
(55, 66)
(86, 68)
(51, 40)
(126, 34)
(63, 58)
(25, 17)
(72, 66)
(122, 54)
(45, 34)
(104, 136)
(68, 53)
(56, 76)
(23, 27)
(18, 48)
(20, 91)
(24, 78)
(56, 76)
(39, 20)
(34, 17)
(58, 23)
(56, 76)
(105, 80)
(73, 66)
(56, 76)
(92, 64)
(57, 17)
(17, 41)
(56, 76)
(73, 62)
(17, 25)
(73, 66)
(84, 67)
(85, 70)
(42, 40)
(72, 66)
(20, 31)
(42, 50)
(64, 58)
(18, 32)
(91, 64)
(56, 76)
(26, 51)
(37, 46)
(56, 76)
(56, 76)
(23, 54)
(32, 25)
(56, 76)
(34, 28)
(29, 34)
(32, 135)
(71, 53)
(56, 76)
(21, 30)
(88, 69)
(91, 69)
(66, 59)
(82, 70)
(23, 56)
(33, 28)
(56, 76)
(56, 76)
(55, 107)
(26, 92)
(38, 51)
(83, 150)
(56, 76)
(91, 68)
(30, 32)
(31, 23)
(56, 76)
(30, 66)
(21, 69)
(20, 31)
(159, 172)
(66, 60)
(17, 27)
